Kendaraan,Segment,Titik Asal,Titik Tujuan,Jarak (km),Durasi (menit),Biaya (Rp)
Kendaraan 1,1,"[-0.0216806367711435, 109.321787367362]","(0.3505518019525449, 109.40797632593103)",42.49,63.6,65352.35
Kendaraan 1,2,"(0.3505518019525449, 109.40797632593103)","(0.35441518595547344, 109.15941130877916)",27.64,41.4,42519.75
Kendaraan 1,3,"(0.35441518595547344, 109.15941130877916)","(0.27839884035011186, 109.07369361893618)",12.74,19.2,19596.07
Kendaraan 1,4,"(0.27839884035011186, 109.07369361893618)","(0.36418109527913456, 108.96105967389411)",15.74,23.4,24216.15
Kendaraan 1,5,"(0.36418109527913456, 108.96105967389411)","(0.36468430704820454, 108.95321779947056)",0.87,1.2,1344.03
Kendaraan 1,6,"(0.36468430704820454, 108.95321779947056)","(0.3724971993214975, 108.95675288207241)",0.95,1.2,1466.77
Kendaraan 1,7,"(0.3724971993214975, 108.95675288207241)","(0.8915720493936989, 108.96141347423233)",57.72,86.4,88787.94
Kendaraan 1,8,"(0.8915720493936989, 108.96141347423233)","(0.9175605747114752, 108.97995015824073)",3.55,5.4,5459.81
Kendaraan 1,9,"(0.9175605747114752, 108.97995015824073)","(0.9175605747114752, 108.97995015824073)",0.0,0.0,10000.0
Kendaraan 1,10,"(0.9175605747114752, 108.97995015824073)","(0.9180899847538697, 108.98009952550929)",0.06,0.0,94.09
Kendaraan 1,11,"(0.9180899847538697, 108.98009952550929)","(0.9117985632033276, 108.98749715368322)",1.08,1.8,1660.91
Kendaraan 1,12,"(0.9117985632033276, 108.98749715368322)","(0.9064241127097126, 108.9897187690097)",0.65,1.2,994.69
Kendaraan 1,13,"(0.9064241127097126, 108.9897187690097)","(0.9246487288288516, 109.01347520371536)",3.33,4.8,5120.92
Kendaraan 1,14,"(0.9246487288288516, 109.01347520371536)","(1.1776535926043807, 108.97555341359133)",28.45,42.6,43758.06
Kendaraan 1,15,"(1.1776535926043807, 108.97555341359133)","(1.2265376001302462, 109.14368453219156)",19.47,29.4,29942.51
Kendaraan 1,16,"(1.2265376001302462, 109.14368453219156)","(1.3591435503132219, 109.20188913524761)",16.1,24.0,24769.07
Kendaraan 1,17,"(1.3591435503132219, 109.20188913524761)","(1.3815699858433281, 109.27522453708751)",8.53,12.6,13113.52
Kendaraan 1,18,"(1.3815699858433281, 109.27522453708751)","(1.3692285963282196, 109.30749840734444)",3.84,6.0,5908.59
Kendaraan 1,19,"(1.3692285963282196, 109.30749840734444)","(1.3692285963282196, 109.30749840734444)",0.0,0.0,100000.0
Kendaraan 1,20,"(1.3692285963282196, 109.30749840734444)","(1.3649275138138588, 109.31790232432759)",1.25,1.8,1925.13
Kendaraan 1,21,"(1.3649275138138588, 109.31790232432759)","(1.3284461400719147, 109.27592762699034)",6.18,9.0,9510.68
Kendaraan 1,22,"(1.3284461400719147, 109.27592762699034)","(1.0451475005471282, 109.58947207151505)",46.98,70.2,72269.83
Kendaraan 2,1,"[-0.0913518946417185, 109.392303436673]","(-0.03559892023639575, 110.11406154689286)",80.49,120.6,123819.69
Kendaraan 2,2,"(-0.03559892023639575, 110.11406154689286)","(0.29355995367963583, 110.24318728460791)",39.32,58.8,60477.56
Kendaraan 2,3,"(0.29355995367963583, 110.24318728460791)","(0.38096088896953084, 109.95175660621733)",33.83,51.0,52039.9
Kendaraan 2,4,"(0.38096088896953084, 109.95175660621733)","(0.39592617623348997, 109.94436387724139)",1.86,3.0,2854.99
Kendaraan 2,5,"(0.39592617623348997, 109.94436387724139)","(0.39857854791849445, 109.95076443241291)",0.77,1.2,1185.03
